Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,PICUS,MultiPilot,IFR,Examiner,NVG,NVG Ops,Distance,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,GroundTrainingGiven,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,PilotComments,Flight Review (FAA),IPC (FAA),Checkride (FAA),FAA 61.58 (FAA),NVG Proficiency (FAA),Takeoff Day,Takeoff Night,Landing Full-Stop Day,Landing Touch-and-Go Day,Landing Full-Stop Night,Landing Touch-and-Go Day Towered,DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings
2024-12-07,N567CD,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Short winter XC staying current,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-11-30,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,4,0,4,0,0,0,4,4,0,0,4
2024-11-15,N678JK,KBOI,KLAS,BOI TWF MLF LAS,,,,,,,3.8,3.8,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Long XC to Vegas for the weekend,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-11-02,N567CD,KBOI,KSLC,BOI TWF OGD SLC,,,,,,,3.2,3.2,0.0,0.0,0.0,3.2,0.0,0.0,1.1,0.0,0.0,0.0,,0.8,0.3,,,,,1,1;ILS RWY 34R;34R;KSLC;,1;RNAV (GPS) RWY 35;35;KOGD;,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR flight to Salt Lake filed at 11000,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-10-26,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Pattern work focusing on stabilized approaches,,,,,,4,0,4,0,0,0,4,4,0,0,4
2024-10-19,N345GH,KBOI,KRDM,BOI RDM,,,,,,,2.3,2.3,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Scenic flight to Redmond over the Cascades,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-10-12,N567CD,KBOI,KSUN,BOI TWF SUN,,,,,,,1.8,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Density altitude challenging at Sun Valley,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-10-05,N567CD,KBOI,KMSO,BOI MSO,,,,,,,2.6,2.6,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Fall colors along the Bitterroot Valley,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-09-28,N234AB,KBOI,KTWF,,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Quick hop to Twin Falls for lunch,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-09-21,N678JK,KBOI,KBZN,BOI BZN,,,,,,,2.8,2.8,0.0,0.0,0.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,,0.7,0.3,,,,,0,1;ILS OR LOC RWY 10R;10R;KBOI;,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR to Bozeman filed through the mountains,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-09-14,N567CD,KBOI,KMYL,BOI DNJ MYL,,,,,,,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Beautiful day to McCall gorgeous approach,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-09-07,N345GH,KBOI,KSEA,BOI LKT SEA,,,,,,,3.5,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Flew to Seattle for a Seahawks game,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-09-01,N891EF,KBOI,KSUN,BOI TWF SUN,,,,,,,1.7,1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Labor day trip to Sun Valley,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-08-31,N234AB,KBOI,KBOI,,,,,,,,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3,0,3,0,0,0,3,3,0,0,3
2024-08-24,N567CD,KBOI,KTRK,BOI RNO TRK,,,,,,,3.4,3.4,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Flew to Truckee for mountain biking weekend,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-08-17,N891EF,KBOI,KGNG,,,,,,,,1.2,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Short flight to Gooding smooth air,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-08-10,N567CD,KBOI,KSMF,BOI RNO SMF,,,,,,,3.6,3.6,0.0,0.0,0.0,3.6,0.0,0.0,1.4,0.0,0.0,0.0,,1.0,0.4,,,,,1,1;RNAV (GPS) RWY 10R;10R;KBOI;,1;ILS RWY 34R;34R;KSLC;,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR to Sacramento marine layer on arrival,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-08-03,N234AB,KBOI,S67,,,,,,,,1.6,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Backcountry strip short field ops,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-07-30,N234AB,KBOI,S67,,,,,,,,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Backcountry flying summer conditions perfect,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-07-27,N345GH,KBOI,KPDX,BOI ONP PDX,,,,,,,3.3,3.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Great CAVU day Portland for dinner,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-07-20,N567CD,KBOI,KBOI,,,,,,,,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Night currency calm winds,,,,,,0,4,0,0,4,0,0,0,4,4,4
2024-07-13,N891EF,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Bumpy afternoon thermals over the desert,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-07-06,N567CD,KBOI,KRNO,BOI WMC RNO,,,,,,,2.9,2.9,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Headwinds both ways somehow,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-29,N234AB,KBOI,KMYL,BOI DNJ MYL,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Passenger flight showed friends the mountains,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-22,N678JK,KBOI,KGTF,BOI HLN GTF,,,,,,,3.1,3.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,XC to Great Falls in the Bonanza what a machine,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-15,N567CD,KBOI,KSUN,BOI TWF SUN,,,,,,,1.7,1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Scenic flight over Sawtooth range,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-08,N345GH,KBOI,KBIL,BOI BZN BIL,,,,,,,3.7,3.7,0.0,0.0,0.0,3.7,0.0,0.0,1.2,0.0,0.0,0.0,,0.9,0.3,,,,,0,1;ILS OR LOC RWY 10R;10R;KBOI;,1;RNAV (GPS) RWY 28L;28L;KBOI;,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR to Billings broke out at 800ft AGL,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-04,N891EF,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Quick trip south smooth air,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-06-01,N234AB,KBOI,U70,,,,,,,,1.1,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Flew with flying club friend to Cascade,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-05-25,N567CD,KBOI,KYKM,BOI YKM,,,,,,,2.4,2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-05-18,N891EF,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Crosswind practice 12kt gusting 20,,,,,,4,0,4,0,0,0,4,4,0,0,4
2024-05-11,N567CD,KBOI,KLWS,BOI LWS,,,,,,,1.9,1.9,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Smooth morning air great visibility,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-05-04,N234AB,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-04-27,N345GH,KBOI,KSLC,BOI TWF OGD SLC,,,,,,,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Flew the 210 to SLC turbulence over the mountains,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-04-20,N567CD,KBOI,KBDN,BOI RDM BDN,,,,,,,2.7,2.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-04-13,N234AB,KBOI,KGNG,,,,,,,,1.1,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Maintenance test flight after annual,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-04-06,N678JK,KBOI,KRNO,BOI WMC RNO,,,,,,,2.8,2.8,0.0,0.0,0.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,,0.7,0.3,,,,,1,1;RNAV (GPS) RWY 10R;10R;KBOI;,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR practice filed through smoke,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-03-30,N567CD,KBOI,KSUN,BOI TWF SUN,,,,,,,1.8,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Early spring trip to Sun Valley still snowy,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-03-23,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Practiced soft field takeoffs and landings,,,,,,5,0,5,0,0,0,5,5,0,0,5
2024-03-16,N891EF,KBOI,KPUW,BOI LWS PUW,,,,,,,2.2,2.2,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-03-09,N567CD,KBOI,KPDX,BOI ONP PDX,,,,,,,3.2,3.2,0.0,0.0,0.0,3.2,0.0,0.0,1.1,0.0,0.0,0.0,,0.8,0.3,,,,,0,1;ILS RWY 28R;28R;KPDX;,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR to Portland low ceilings on arrival,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-03-02,N234AB,KBOI,KTWF,,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Winter flying preheated the engine,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-02-24,N567CD,KBOI,KOGD,BOI TWF OGD,,,,,,,2.5,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-02-10,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Ice on the wings during preflight waited for sun,,,,,,4,0,4,0,0,0,4,4,0,0,4
2024-01-27,N345GH,KBOI,KSLC,BOI TWF OGD SLC,,,,,,,3.1,3.1,0.0,0.0,0.0,3.1,0.0,0.0,1.2,0.0,0.0,0.0,,0.9,0.3,,,,,1,1;ILS RWY 34R;34R;KSLC;,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,IFR to SLC winter weather needed the rating,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-01-20,N567CD,KBOI,KMYL,BOI DNJ MYL,,,,,,,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2024-01-13,N234AB,KBOI,KBOI,,,,,,,,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Night currency 3 landings,,,,,,0,3,0,0,3,0,0,0,3,3,3
2024-01-06,N567CD,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,New year first flight of 2024,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-12-30,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,End of year flight staying current,,,,,,4,0,4,0,0,0,4,4,0,0,4
2023-12-16,N567CD,KBOI,KTWF,,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-12-02,N234AB,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Cold day pattern work staying proficient,,,,,,4,0,4,0,0,0,4,4,0,0,4
2023-11-25,N345GH,KBOI,KPDX,BOI ONP PDX,,,,,,,3.3,3.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Thanksgiving trip to Portland,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-11-18,N567CD,KBOI,KSUN,BOI TWF SUN,,,,,,,1.7,1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-11-11,N567CD,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Veterans Day night flight over the city,,,,,,0,3,0,0,3,0,0,0,3,3,3
2023-11-04,N234AB,KBOI,KGNG,,,,,,,,1.1,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Short hop to Gooding for lunch,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-10-28,N678JK,KBOI,KBZN,BOI BZN,,,,,,,2.6,2.6,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,First flight in the Bonanza what a machine,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-10-21,N567CD,KBOI,KSLC,BOI TWF OGD SLC,,,,,,,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.7,0.3,,,,,0,1;ILS RWY 34R;34R;KSLC;,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Filed IFR to Salt Lake smooth flight,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-10-14,N234AB,KBOI,KMYL,BOI DNJ MYL,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Beautiful fall colors along the river,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-10-07,N891EF,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-10-01,N234AB,KBOI,S67,,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Backcountry flying end of season,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-09-30,N567CD,KBOI,KSEA,BOI LKT SEA,,,,,,,3.4,3.4,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Flew to Seattle great VFR day,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-09-23,N345GH,KBOI,KRNO,BOI WMC RNO,,,,,,,2.7,2.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,High performance checkout in the 210,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-09-19,N891EF,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-09-16,N234AB,KBOI,S67,,,,,,,,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Backcountry strip short field ops at Smiley Creek,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-09-09,N567CD,KBOI,KBOI,,,,,,,,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Night currency calm winds,,,,,,0,3,0,0,3,0,0,0,3,3,3
2023-09-02,N567CD,KBOI,KRDM,BOI RDM,,,,,,,2.3,2.3,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Smoke from wildfires limiting visibility to 5mi,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-08-26,N234AB,KBOI,KMYL,BOI DNJ MYL,,,,,,,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Passenger sightseeing over Stanley Basin,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-08-19,N567CD,KBOI,KLAS,BOI TWF MLF LAS,,,,,,,3.9,3.9,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Long XC to Vegas thermals over the desert,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-08-12,N891EF,KBOI,KTWF,,,,,,,,1.3,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Fuel stop at Twin Falls quick turnaround,,,,,,1,0,1,0,0,0,1,1,0,0,1
2023-08-09,N567CD,KBOI,KBOI,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Pattern work with a friend riding along,,,,,,4,0,4,0,0,0,4,4,0,0,4
2023-08-05,N234AB,KBOI,KSUN,BOI TWF SUN,,,,,,,1.8,1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,Scenic flight over Sawtooth range,,,,,,1,0,1,0,0,0,1,1,0,0,1
